recall,precision
0.64,0.20711974110032363
0.64,0.2077922077922078
0.64,0.20846905537459284
0.64,0.20915032679738563
0.64,0.2098360655737705
0.64,0.21052631578947367
0.64,0.21122112211221122
0.64,0.21262458471760798
0.64,0.21333333333333335
0.64,0.2140468227424749
0.64,0.21476510067114093
0.64,0.21548821548821548
0.64,0.21621621621621623
0.64,0.21694915254237288
0.64,0.21768707482993196
0.64,0.21843003412969283
0.64,0.21993127147766323
0.63,0.21724137931034482
0.63,0.2179930795847751
0.63,0.21875
0.62,0.21602787456445993
0.62,0.21678321678321677
0.62,0.21754385964912282
0.61,0.2147887323943662
0.6,0.21201413427561838
0.59,0.20921985815602837
0.59,0.2099644128113879
0.59,0.21071428571428572
0.59,0.2114695340501792
0.59,0.21223021582733814
0.59,0.21299638989169675
0.59,0.213768115942029
0.59,0.21454545454545454
0.59,0.21532846715328466
0.59,0.21611721611721613
0.59,0.21691176470588236
0.59,0.2177121771217712
0.58,0.21481481481481482
0.58,0.21561338289962825
0.58,0.21641791044776118
0.58,0.21722846441947566
0.58,0.21804511278195488
0.58,0.2188679245283019
0.58,0.2196969696969697
0.58,0.22053231939163498
0.58,0.22137404580152673
0.58,0.2222222222222222
0.58,0.2230769230769231
0.58,0.22393822393822393
0.57,0.22093023255813954
0.57,0.22178988326848248
0.57,0.22265625
0.57,0.2235294117647059
0.57,0.22440944881889763
0.57,0.22529644268774704
0.56,0.2222222222222222
0.56,0.22310756972111553
0.56,0.224
0.56,0.2248995983935743
0.56,0.22580645161290322
0.56,0.22672064777327935
0.56,0.22764227642276422
0.56,0.22857142857142856
0.56,0.22950819672131148
0.56,0.23045267489711935
0.56,0.23140495867768596
0.56,0.23236514522821577
0.56,0.23333333333333334
0.56,0.23430962343096234
0.56,0.23529411764705882
0.55,0.2320675105485232
0.55,0.2330508474576271
0.55,0.23404255319148937
0.55,0.23504273504273504
0.55,0.23605150214592274
0.55,0.23706896551724138
0.55,0.23809523809523808
0.55,0.2391304347826087
0.55,0.24017467248908297
0.55,0.2412280701754386
0.55,0.2422907488986784
0.55,0.24336283185840707
0.55,0.24444444444444444
0.55,0.24553571428571427
0.55,0.24663677130044842
0.54,0.24324324324324326
0.54,0.24434389140271492
0.54,0.24545454545454545
0.54,0.2465753424657534
0.54,0.24770642201834864
0.53,0.24423963133640553
0.53,0.24537037037037038
0.53,0.24651162790697675
0.53,0.24766355140186916
0.52,0.24413145539906103
0.52,0.24528301886792453
0.52,0.24644549763033174
0.52,0.24761904761904763
0.51,0.24401913875598086
0.5,0.2403846153846154
0.5,0.24154589371980675
0.5,0.24271844660194175
0.5,0.24390243902439024
0.5,0.24509803921568626
0.5,0.24630541871921183
0.49,0.24257425742574257
0.48,0.23880597014925373
0.48,0.24
0.47,0.23618090452261306
0.46,0.23232323232323232
0.46,0.233502538071066
0.46,0.23469387755102042
0.46,0.2358974358974359
0.46,0.23711340206185566
0.46,0.23834196891191708
0.46,0.23958333333333334
0.46,0.24083769633507854
0.45,0.23684210526315788
0.45,0.23809523809523808
0.44,0.23404255319148937
0.44,0.23529411764705882
0.44,0.23655913978494625
0.44,0.23783783783783785
0.44,0.2391304347826087
0.44,0.24043715846994534
0.44,0.24175824175824176
0.44,0.2430939226519337
0.43,0.2388888888888889
0.43,0.24022346368715083
0.43,0.24157303370786518
0.43,0.24293785310734464
0.42,0.23863636363636365
0.42,0.24
0.42,0.2413793103448276
0.42,0.24277456647398843
0.42,0.2441860465116279
0.42,0.24561403508771928
0.42,0.24705882352941178
0.42,0.2485207100591716
0.41,0.24404761904761904
0.41,0.24550898203592814
0.41,0.2469879518072289
0.41,0.24848484848484848
0.41,0.25
0.41,0.25153374233128833
0.41,0.25308641975308643
0.41,0.2546583850931677
0.41,0.25625
0.41,0.2578616352201258
0.41,0.25949367088607594
0.41,0.2611464968152866
0.41,0.26282051282051283
0.41,0.2645161290322581
0.41,0.2662337662337662
0.41,0.2679738562091503
0.41,0.26973684210526316
0.41,0.271523178807947
0.41,0.2733333333333333
0.41,0.2751677852348993
0.4,0.2702702702702703
0.4,0.272108843537415
0.4,0.273972602739726
0.4,0.27586206896551724
0.4,0.2777777777777778
0.4,0.27972027972027974
0.4,0.28169014084507044
0.4,0.28368794326241137
0.4,0.2857142857142857
0.39,0.2805755395683453
0.38,0.2753623188405797
0.38,0.2773722627737226
0.38,0.27941176470588236
0.38,0.2814814814814815
0.37,0.27611940298507465
0.36,0.2706766917293233
0.36,0.2727272727272727
0.36,0.2748091603053435
0.36,0.27692307692307694
0.36,0.27906976744186046
0.36,0.28125
0.36,0.28346456692913385
0.36,0.2857142857142857
0.36,0.288
0.35,0.28225806451612906
0.34,0.2764227642276423
0.34,0.2786885245901639
0.34,0.2809917355371901
0.34,0.2833333333333333
0.34,0.2857142857142857
0.34,0.288135593220339
0.34,0.2905982905982906
0.34,0.29310344827586204
0.34,0.2956521739130435
0.34,0.2982456140350877
0.34,0.3008849557522124
0.34,0.30357142857142855
0.34,0.3063063063063063
0.34,0.3090909090909091
0.34,0.3119266055045872
0.34,0.3148148148148148
0.34,0.3177570093457944
0.34,0.32075471698113206
0.34,0.3238095238095238
0.34,0.3269230769230769
0.34,0.3300970873786408
0.34,0.3333333333333333
0.34,0.33663366336633666
0.34,0.34
0.34,0.3434343434343434
0.33,0.336734693877551
0.33,0.3402061855670103
0.32,0.3333333333333333
0.32,0.3368421052631579
0.32,0.3404255319148936
0.32,0.34408602150537637
0.32,0.34782608695652173
0.32,0.3516483516483517
0.32,0.35555555555555557
0.32,0.3595505617977528
0.31,0.3522727272727273
0.31,0.3563218390804598
0.31,0.36046511627906974
0.31,0.36470588235294116
0.3,0.35714285714285715
0.3,0.3614457831325301
0.29,0.35365853658536583
0.28,0.345679012345679
0.28,0.35
0.27,0.34177215189873417
0.26,0.3333333333333333
0.26,0.33766233766233766
0.26,0.34210526315789475
0.26,0.3466666666666667
0.25,0.33783783783783783
0.25,0.3424657534246575
0.25,0.3472222222222222
0.25,0.352112676056338
0.25,0.35714285714285715
0.25,0.36231884057971014
0.25,0.36764705882352944
0.24,0.3582089552238806
0.24,0.36363636363636365
0.24,0.36923076923076925
0.23,0.359375
0.23,0.36507936507936506
0.23,0.3709677419354839
0.23,0.3770491803278688
0.23,0.38333333333333336
0.23,0.3898305084745763
0.23,0.39655172413793105
0.22,0.38596491228070173
0.22,0.39285714285714285
0.22,0.4
0.22,0.4074074074074074
0.21,0.39622641509433965
0.21,0.40384615384615385
0.21,0.4117647058823529
0.2,0.4
0.2,0.40816326530612246
0.2,0.4166666666666667
0.19,0.40425531914893614
0.19,0.41304347826086957
0.19,0.4222222222222222
0.18,0.4090909090909091
0.18,0.4186046511627907
0.18,0.42857142857142855
0.18,0.43902439024390244
0.18,0.45
0.18,0.46153846153846156
0.17,0.4473684210526316
0.16,0.43243243243243246
0.16,0.4444444444444444
0.15,0.42857142857142855
0.14,0.4117647058823529
0.14,0.42424242424242425
0.14,0.4375
0.13,0.41935483870967744
0.13,0.43333333333333335
0.12,0.41379310344827586
0.11,0.39285714285714285
0.1,0.37037037037037035
0.1,0.38461538461538464
0.1,0.4
0.1,0.4166666666666667
0.1,0.43478260869565216
0.1,0.45454545454545453
0.09,0.42857142857142855
0.09,0.45
0.08,0.42105263157894735
0.07,0.3888888888888889
0.06,0.35294117647058826
0.06,0.375
0.06,0.4
0.05,0.35714285714285715
0.05,0.38461538461538464
0.04,0.3333333333333333
0.03,0.2727272727272727
0.02,0.2
0.01,0.1111111111111111
0.01,0.125
0.01,0.14285714285714285
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
